fact_numero_factura,fact_id_cliente,fact_id_servicio,fact_fecha_factura,fact_fecha_vencimiento,fact_importe_facturado,fact_estado_pago
INV/1/2024,13,1,2024-12-31,2025-01-30,145.20,vencido
INV/1/2025,376,2,2025-03-31,2025-04-30,121.00,pagado
INV/1/2025,376,6,2025-03-31,2025-04-30,605.00,pagado
INV/10/2024,83,1,2024-09-19,2024-10-19,145.20,pagado
INV/10/2024,83,2,2024-09-19,2024-10-19,121.00,pagado
INV/10/2024,83,3,2024-09-19,2024-10-19,302.50,pendiente
INV/10/2024,83,4,2024-09-19,2024-10-19,108.90,vencido
INV/10/2024,83,5,2024-09-19,2024-10-19,96.80,pagado
INV/10/2025,148,6,2025-01-24,2025-02-23,605.00,pagado
INV/100/2024,33,2,2024-02-23,2024-03-24,121.00,pagado
INV/100/2024,33,3,2024-02-23,2024-03-24,302.50,pagado
INV/100/2024,33,4,2024-02-23,2024-03-24,108.90,pendiente
INV/100/2025,242,3,2025-03-31,2025-04-30,302.50,pendiente
INV/1000/2024,125,3,2024-03-19,2024-04-18,302.50,pagado
INV/1000/2024,125,4,2024-03-19,2024-04-18,108.90,pagado
INV/1000/2024,125,6,2024-03-19,2024-04-18,605.00,pagado
INV/1000/2025,320,2,2025-12-18,2026-01-17,121.00,pendiente
INV/1000/2025,320,3,2025-12-18,2026-01-17,302.50,pagado
INV/1000/2025,320,4,2025-12-18,2026-01-17,108.90,pagado
INV/1000/2025,320,5,2025-12-18,2026-01-17,96.80,pagado
INV/1001/2024,308,4,2024-05-10,2024-06-09,108.90,vencido
INV/1001/2025,149,1,2025-06-10,2025-07-10,145.20,pendiente
INV/1001/2025,149,2,2025-06-10,2025-07-10,121.00,pendiente
INV/1001/2025,149,4,2025-06-10,2025-07-10,108.90,pagado
INV/1001/2025,149,5,2025-06-10,2025-07-10,96.80,pagado
INV/1001/2025,149,6,2025-06-10,2025-07-10,605.00,pagado
INV/1002/2024,149,6,2024-01-22,2024-02-21,605.00,pagado
INV/1002/2025,45,1,2025-01-13,2025-02-12,145.20,pendiente
INV/1002/2025,45,3,2025-01-13,2025-02-12,302.50,pagado
INV/1002/2025,45,4,2025-01-13,2025-02-12,108.90,pagado
INV/1003/2024,467,1,2024-12-31,2025-01-30,145.20,pagado
INV/1003/2025,409,6,2025-09-17,2025-10-17,605.00,pagado
INV/1004/2024,418,3,2024-09-12,2024-10-12,302.50,pagado
INV/1004/2024,418,5,2024-09-12,2024-10-12,96.80,pendiente
INV/1004/2025,325,1,2025-08-29,2025-09-28,145.20,pendiente
INV/1005/2024,357,1,2024-01-31,2024-03-01,145.20,pendiente
INV/1005/2024,357,2,2024-01-31,2024-03-01,121.00,pagado
INV/1005/2025,41,3,2025-08-29,2025-09-28,302.50,pendiente
INV/1006/2024,301,1,2024-06-17,2024-07-17,145.20,pagado
INV/1006/2024,301,3,2024-06-17,2024-07-17,302.50,pagado
INV/1006/2024,301,4,2024-06-17,2024-07-17,108.90,pagado
INV/1006/2024,301,5,2024-06-17,2024-07-17,96.80,pagado
INV/1006/2025,295,1,2025-08-29,2025-09-28,145.20,pagado
INV/1006/2025,295,3,2025-08-29,2025-09-28,302.50,pendiente
INV/1007/2024,148,1,2024-02-01,2024-03-02,145.20,pagado
INV/1007/2024,148,2,2024-02-01,2024-03-02,121.00,pagado
INV/1007/2024,148,3,2024-02-01,2024-03-02,302.50,pagado
INV/1007/2024,148,4,2024-02-01,2024-03-02,108.90,vencido
INV/1007/2024,148,5,2024-02-01,2024-03-02,96.80,pagado
INV/1007/2025,103,1,2025-10-31,2025-11-30,145.20,pagado
INV/1007/2025,103,2,2025-10-31,2025-11-30,121.00,pendiente
INV/1007/2025,103,3,2025-10-31,2025-11-30,302.50,pendiente
INV/1008/2024,381,2,2024-07-03,2024-08-02,121.00,pagado
INV/1008/2024,381,3,2024-07-03,2024-08-02,302.50,pagado
INV/1008/2024,381,4,2024-07-03,2024-08-02,108.90,pagado
INV/1008/2024,381,5,2024-07-03,2024-08-02,96.80,pagado
INV/1008/2024,381,6,2024-07-03,2024-08-02,605.00,pagado
INV/1008/2025,301,1,2025-04-30,2025-05-30,145.20,pagado
INV/1008/2025,301,2,2025-04-30,2025-05-30,121.00,vencido
INV/1009/2024,465,1,2024-05-30,2024-06-29,145.20,pagado
INV/1009/2024,465,6,2024-05-30,2024-06-29,605.00,pagado
INV/1009/2025,165,1,2025-02-07,2025-03-09,145.20,pagado
INV/1009/2025,165,3,2025-02-07,2025-03-09,302.50,pendiente
INV/1009/2025,165,5,2025-02-07,2025-03-09,96.80,pagado
INV/101/2024,260,4,2024-09-02,2024-10-02,108.90,pagado
INV/101/2025,381,2,2025-03-31,2025-04-30,121.00,vencido
INV/1010/2024,11,5,2024-06-14,2024-07-14,96.80,pagado
INV/1010/2025,173,5,2025-08-18,2025-09-17,96.80,pagado
INV/1010/2025,173,6,2025-08-18,2025-09-17,605.00,pendiente
INV/1011/2024,383,1,2024-03-28,2024-04-27,145.20,pagado
INV/1011/2024,383,2,2024-03-28,2024-04-27,121.00,pagado
INV/1011/2025,8,3,2025-07-31,2025-08-30,302.50,pagado
INV/1012/2024,38,1,2024-06-27,2024-07-27,145.20,pagado
INV/1012/2024,38,2,2024-06-27,2024-07-27,121.00,pagado
INV/1012/2024,38,3,2024-06-27,2024-07-27,302.50,vencido
INV/1012/2024,38,5,2024-06-27,2024-07-27,96.80,pagado
INV/1012/2025,463,6,2025-09-23,2025-10-23,605.00,pagado
INV/1013/2024,227,1,2024-01-02,2024-02-01,145.20,pagado
INV/1013/2024,227,2,2024-01-02,2024-02-01,121.00,pagado
INV/1013/2024,227,3,2024-01-02,2024-02-01,302.50,pagado
INV/1013/2024,227,5,2024-01-02,2024-02-01,96.80,pagado
INV/1013/2025,412,1,2025-06-03,2025-07-03,145.20,pagado
INV/1013/2025,412,3,2025-06-03,2025-07-03,302.50,pendiente
INV/1013/2025,412,6,2025-06-03,2025-07-03,605.00,pendiente
