fact_id_tarea,fact_id_empleado,fact_id_cliente,fact_id_servicio,fact_fecha_inicio,fact_fecha_fin,fact_fecha_entrega,fact_horas_dedicadas,fact_estado,fact_prioridad
1,5,94,2,2024-04-23,2024-04-24,2024-04-24,3.62,completado,media
2,8,359,5,2024-07-11,2024-07-11,2024-07-11,2.82,completado,baja
3,3,274,1,2024-04-14,2024-04-15,2024-04-15,3.68,completado,alta
4,1,225,6,2024-08-26,2024-08-27,2024-08-27,4.25,retrasado,baja
5,5,176,4,2025-05-25,2025-05-27,2025-05-27,6.16,completado,alta
6,6,406,1,2024-03-23,2024-03-23,2024-03-23,4.86,completado,baja
7,2,137,4,2025-07-10,2025-07-10,2025-07-10,2.12,completado,media
8,1,419,4,2024-05-04,2024-05-05,2024-05-05,4.46,completado,media
9,4,395,4,2024-02-04,2024-02-06,2024-02-06,6.63,"en progreso",alta
10,8,341,2,2025-02-02,2025-02-03,2025-02-03,2.07,completado,media
11,1,82,6,2025-07-16,2025-07-17,2025-07-17,4.43,completado,media
12,4,327,3,2025-01-04,2025-01-04,2025-01-04,0.89,completado,baja
13,7,121,6,2024-11-28,2024-11-29,2024-12-01,3.14,retrasado,media
14,1,405,2,2024-02-13,2024-02-14,2024-02-14,4.85,completado,alta
15,6,306,2,2024-04-01,2024-04-02,2024-04-02,5.23,"en progreso",baja
16,6,352,5,2025-10-02,2025-10-02,2025-10-04,3.37,retrasado,alta
17,3,275,1,2025-05-14,2025-05-15,2025-05-15,8.23,"en progreso",media
18,1,376,2,2025-12-06,2025-12-07,2025-12-07,6.17,completado,media
19,8,461,1,2025-12-24,2025-12-25,2025-12-25,5.01,completado,alta
20,4,357,4,2025-08-03,2025-08-03,2025-08-03,1.72,"en progreso",media
21,5,375,4,2025-09-05,2025-09-05,2025-09-05,1.8,completado,baja
22,8,272,2,2024-10-29,2024-10-30,2024-10-30,3.64,completado,media
23,9,1,6,2025-01-23,2025-01-23,2025-01-23,0.2,completado,alta
24,10,439,3,2024-09-01,2024-09-02,2024-09-02,6.54,completado,alta
25,4,276,4,2025-06-20,2025-06-21,2025-06-21,5.57,completado,alta
26,7,145,3,2025-10-18,2025-10-19,2025-10-19,5.57,completado,alta
27,1,338,1,2024-05-12,2024-05-13,2024-05-13,4.83,"en progreso",baja
28,4,55,4,2024-04-11,2024-04-12,2024-04-17,2.74,retrasado,alta
29,10,251,5,2025-12-19,2025-12-21,2025-12-21,7.66,completado,media
30,2,114,5,2024-01-14,2024-01-14,2024-01-14,1.64,completado,alta
31,8,252,1,2025-10-16,2025-10-16,2025-10-20,2.07,retrasado,media
32,1,407,6,2025-09-23,2025-09-23,2025-09-23,2.92,completado,alta
33,2,37,3,2024-08-09,2024-08-09,2024-08-09,3.1,completado,baja
34,9,372,2,2025-01-29,2025-01-29,2025-01-29,0.96,"en progreso",alta
35,9,321,2,2025-07-25,2025-07-26,2025-07-26,4.84,completado,alta
36,11,296,3,2025-04-14,2025-04-16,2025-04-16,8.17,completado,baja
37,9,86,2,2025-02-15,2025-02-16,2025-02-16,3.57,completado,alta
38,6,308,4,2024-11-18,2024-11-18,2024-11-18,1.35,completado,media
39,7,212,6,2024-11-27,2024-11-28,2024-11-28,4.88,completado,media
40,5,393,5,2025-01-03,2025-01-04,2025-01-04,5.77,completado,media
41,1,1,6,2024-10-18,2024-10-18,2024-10-18,1.96,completado,media
